Nº PROJETO;TÍTULO;EMPRESA PETROLÍFERA;DATA DE INÍCIO;DATA DE TÉRMINO;EMPRESA BRASILEIRA EXECUTORA;INSTITUIÇÃO CREDENCIADA EXECUTORA;AUTORIZAÇÃO;DATA DE PUBLICAÇÃO
17894-7;Avaliação de Formulações de Óleos Combustíveis Pesados - Bancada de Avaliação de Depósitos em Injetores;Petrobras;26/11/2013;19/03/2016;-;UFRJ;-;-
17895-4;Modos de Falha NSo-Convencionais de Dutos Flexíveis;Petrobras;27/11/2013;25/11/2017;-;UFRJ;-;-
17896-2;Avaliação do efeito de óleos, de dispersantes e de óleos quimicamente dispersos em peixes e moluscos por meio das alterações nos biomarcadores bioquímicos, citogenéticos e histológicos;Petrobras;02/12/2013;29/05/2017;-;UFSC;-;-
17897-0;Estudo da Viabilidade da Utilização de Ondas Propagantes Ultrassônicas num Destilador Molecular de Petróleo;Petrobras;03/12/2013;26/11/2016;-;USP;-;-
17898-8;Avaliação de revestimentos e reparos por soldagem em reatores HDT e tambores de coque;Petrobras;03/12/2013;01/12/2017;-;UFC;-;-
17899-6;Projeto Cement Well: escoamento e reologia de cimentos e fluidos de perfuração na engenharia de poços;Petrobras;03/12/2013;31/03/2017;-;PUC-RIO;-;-
17900-2;Sonda do Futuro;Petrobras;06/12/2013;16/06/2015;-;SINTEF;-;-
17901-0;Consideração do VIM em Projeto de Sistemas Flutuantes de Produção de Óleo e Gás Offshore;Petrobras;11/12/2013;05/09/2016;-;USP;-;-
17902-8;Determinação de comportamento à Fadiga de Tubulações com Defeitos tipo mossa e reparados por materiais compósitos e avaliação da contribuição da rigidez do solo para aumento da vida à Fadiga;Petrobras;11/12/2013;09/12/2017;-;CTDUT;-;-
17903-6;Medição e Modelagem da Redução de Temperatura em Materiais Metálicos Sujeitos a vazamento de correntes ricas em C02;Petrobras;12/12/2013;11/12/2014;-;UFRGS;-;-
17904-4;Desenvolvimento de um método de dimensionamento de pavimentos asfálticos - SDIMPA (Sistema de Dimensionamento de Pavimento Asfáltico)- FASE II;Petrobras;13/12/2013;11/12/2016;-;USP;-;-
17905-1;Elaboração do Modelo Matemático Estocástico para Otimização do Plano do Abastecimento;Petrobras;19/12/2013;08/10/2017;-;IMPA;-;-
17906-9;Sistema de Monitoramento, Rastreamento e Gestão de Ativos OffShore;Petrobras;19/12/2013;10/08/2015;-;PUC-RIO;-;-
17907-7;Desenvolvimento de um Método de Dimensionamento de Pavimentos Asfálticos . SDIMPA -Fase ll * UFRGS;Petrobras;20/12/2013;18/12/2016;-;UFRGS;-;-
17908-5;Desenvolvimento de Ferramenta Computacional para identificação de modelos matemáticos de poços de produção de petróleo;Petrobras;20/12/2013;16/06/2016;-;UFMG;-;-
17909-3;Simulação composicional paralela de reservatórios de petróleo em conjunto com malhas não-estruturadas e metodologias segregadas;Petrobras;23/12/2013;17/09/2016;-;UFC;-;-
17910-1;Desenvolvimento de técnica magnética para avaliação de dano térmico em tubos de forno reformador;Petrobras;23/12/2013;21/12/2016;-;USP;-;-
17911-9;Estabelecimento de Valores de Referência de Qualidade (VRQs) de elementos químicos para os principais tipos de solo dos Estados de Alagoas e Sergipe;Petrobras;23/12/2013;13/08/2016;-;UFAL;-;-
17912-7;Modelagem Termodinâmica e Nova Metodologia de Previsão do Parâmetro de Solubilidade de Petróleos;Petrobras;26/12/2013;20/12/2015;-;UERJ;-;-
17913-5;Desenvolvimento de Tanque com Geometria de Fundo Configurável para Simulação do Fenômeno de Correntes de Densidade;Petrobras;26/12/2013;24/12/2017;-;PUC-RS;-;-
17914-3;Gestão e Controle de Informações sobre Bioincrustação e Bioinvasão (GEBIO);Petrobras;27/12/2013;25/12/2017;-;IEAPM;-;-
17915-0;Estudos sobre a deposição de parafina em dutos;Petrobras;27/12/2013;23/06/2017;-;PUC-RIO;-;-
17916-8;Fomento à formação de recursos humanos em geologia do petróleo, por meio da continuidade do apoio ao PRH 12.;Petrobras;08/01/2014;06/04/2018;-;UFRGS;087/2013;25/01/13
17917-6;A Integração entre Planejamento e Execução nas Paradas de Produção Programadas da UO-Rio;Petrobras;16/01/2014;11/10/2016;-;UFRJ;-;-
17918-4;Desenvolvimento de ferramenta computacional para avaliar e elaborar o cronograma de sondas para otimizar a distribuição dos recursos críticos para os projetos do Pré-Sal.;Petrobras;17/01/2014;16/01/2016;-;PUC-RIO;-;-
17919-2;Fomento à formação de recursos humanos em Geociências por meio da criação do PRH-PB 238;Petrobras;22/01/2014;23/05/2020;-;UFMG;397/2013;16/04/13
17920-0;Desenvolvimento de técnicas analíticas de caracterização e quantificação de parafinas em petróleos com foco nas atividades de logística e abastecimento;Petrobras;03/02/2014;02/02/2016;-;UFES;-;-
17921-8;Desenvolvimento do Sistema MG/Sstab/WMG para projeto, operação, emergência e movimentos de unidades flutuantes;Petrobras;06/02/2014;04/02/2017;-;PUC-RIO;-;-
17922-6;Análises Químicas em Produtos Químicos, Biocombustíveis, Borras, Resíduos, Petróleos e Derivados;Petrobras;07/02/2014;06/02/2015;-;UFRJ;-;-
17923-4;Aplicação de Difração de Raios-X para caracterização in situ de catalisadores industriais e seu desenvolvimento;Petrobras;13/02/2014;11/02/2017;-;PUC-RIO;-;-
17924-2;Modelagem e visualização geomecânica;Petrobras;19/02/2014;18/02/2016;-;PUC-RIO;-;-
17925-9;Ressonância Magnética Nuclear: Caracterização de Derivados de Petróleo, Amostras e Insumos da Indústria de Óleo e Gás BR-DE-318;Petrobras;20/02/2014;19/04/2016;-;PUC-RIO;-;-
17926-7;Inversão tridimensional de dados MT e  MCSEM In-line e Broadside;Petrobras;28/02/2014;26/02/2017;-;UFPA;-;-
17927-5;Modelagem de escoamentos multifásicos na presença de hidratos;Petrobras;10/03/2014;08/03/2018;-;UFRJ;-;-
17928-3;Estudo de aplicações da tecnologia de adsorção para remoção de biureto nas plantas de Fertilizantes;Petrobras;11/03/2014;04/12/2016;-;UERJ;-;-
17929-1;Estudo de biomarcadores químicos neutros, ácidos e aromáticos em rochas geradoras de idade Paleozóica e Mesozóica da Bacia do Parnaíba.;Petrobras;28/03/2014;19/06/2016;-;UFPI;-;-
17930-9;Desenvolvimento de sistemas de computador para apoio à soluções logísticas: módulo para planejamento de reservas e remessas, módulo para agendamento de recebimento e módulo para o monitoramento e gestão da frota;Petrobras;01/04/2014;27/10/2014;-;PUC-RIO;-;-
17931-7;Elaboração do Projeto Executivo do Núcleo de Pesquisa em Adsorventes e Catalisadores (NUPAC) da UFAL.;Petrobras;03/04/2014;28/03/2015;-;UFAL;-;-
17932-5;Desenvolvimento de um Manipulador de Plena Capacidade para Aplicação em Reparo por Atrito;Petrobras;08/04/2014;06/04/2017;-;UFU;-;-
17933-3;Fundamentos da utilização de sementes para a cristalização de zeólitas (FUNDSEED) e síntese de novas estruturas de interesse para o refino.;Petrobras;10/04/2014;05/10/2017;-;UFAL;-;-
17934-1;Modelagem Geológica e Simulação de Fluxo em Reservatórios Siliciclásticos Análogos em afloramentos da Bacia Sergipe-Alagoas, Primeira Etapa;Petrobras;14/04/2014;07/04/2016;-;UFS;-;-
17935-8;Desenvolvimento de aditivos de FCC multi-componentes: preparação, caracterização, testes catalíticos por técnicas de alto desempenho. (High-Through-Put).;Petrobras;14/04/2014;12/04/2017;-;UFRJ;-;-
17936-6;Estudos para Viabilizar a Aplicação da Destilação Molecular - DESTMOL - na Indústria do Petróleo;Petrobras;14/04/2014;07/04/2017;-;UNICAMP;-;-
17937-4;Sistema de Detecção e Controle de Golfadas em Linhas de Bombeio de Produção Fase II - Desenvolvimento de Protótipo;Petrobras;14/04/2014;12/04/2016;-;UFRJ;-;-
17938-2;Modelagem de Precipitação de Parafinas e Asfaltenos;Petrobras;14/04/2014;12/04/2018;-;UFRJ;-;-
17939-0;Análises Químicas para caracterização de produtos da área de petróleo,petroquímica,biocombustíveis por ressonância magnética.;Petrobras;16/04/2014;12/10/2014;-;UFRJ;-;-
17940-8;Desenvolvimento e Testes de Sistema de Sensores para Detecção de Vazamentos de CO2 a partir do leito marinho em águas profundas.;Petrobras;17/04/2014;10/02/2016;-;UFRJ;-;-
17941-6;Modelagem estendida de escoamento bifásico para localização de vazamento em gasodutos durante a passagem de PIGS e na presença de golfadas na linha.;Petrobras;17/04/2014;15/04/2018;-;UFRJ;-;-
17942-4;Desenvolvimento de ensaios de golpe de ariete em tubulações de FRP;Petrobras;22/04/2014;12/10/2017;-;UERJ;-;-
17943-2;Elaboração do Projeto Executivo do Centro Tecnológico da Baixada Santista - CTBS;Petrobras;28/04/2014;07/03/2016;-;USP;-;-
17944-0;Estudo da dinâmica e controle de golfadas em sistema de elevação de petróleo tipo gas-lift;Petrobras;08/05/2014;02/03/2017;-;UFRGS;-;-
17945-7;Desenvolvimento de um simulador bifásico tridimensional em malhas híbridas e avanços para o desenvolvimento de um plug-in usando malhas de transição;Petrobras;26/05/2014;20/11/2017;-;UFSC;-;-
17946-5;Caracterização e análises de amostras da indústria de óleos e gás por spectrometria de absorção atômica - BR-DE0299/2013.;Petrobras;02/06/2014;31/05/2016;-;PUC-RIO;-;-
17947-3;Procedimento e acompanhamento analítico para redução do teor de estanho em biolubrificantes obtidos a partir da transesterificação de biodiesel de mamona com álcool trimetilolpropano - TC 321;Petrobras;03/06/2014;28/11/2017;-;PUC-RIO;-;-
17948-1;Análise Sensitiva para Modelagem Numérica da Diagênese de Reservatórios;Petrobras;03/06/2014;29/11/2014;-;UFRGS;-;-
17949-9;Estudo das condições de regeneração e de aditivos DeNOx e DeSOx e promotores de combustão no controle de emissões do regenerador da unidade de craqueamento catalítico (FCC).;Petrobras;09/06/2014;07/06/2018;-;UFRJ;-;-
17950-7;Monitoramento da Condição de Medidores e Equipamentos de Processo via Reconciliação de Dados e Estimação de Parâmetros;Petrobras;09/06/2014;04/12/2016;-;UFRJ;-;-
17951-5;Ferramentas avançadas de ultrassom para monitoração de corrosão na indústria de petróleo.;Petrobras;23/06/2014;18/12/2017;-;USP;-;-
17952-3;Sistema Informatizado para detecção de vazamentos em atividades offloading e Inspeção Visual para Manutenção baseado em Realidade Aumentada.;Petrobras;03/07/2014;27/01/2018;-;USP;-;-
17953-1;Obtenção de gasolina com melhor qualidade: Seleção de parâmetros do catalisador e do processo de craqueamento catalítico fluidizados e em processos associados.;Petrobras;07/07/2014;05/07/2018;-;UFRJ;-;-
17954-9;"Avaliação do Histórico de Formação de Depósitos e Caracterização de Sólidos
Inorgânicos em Processos de Refino Utilizando Técnicas de Microscopia Eletrônica
(ME).";Petrobras;14/07/2014;08/04/2017;-;PUC-RIO;-;-
17955-6;Serviços de caracterização de frações de petróleo para a Rede de Análises.;Petrobras;14/07/2014;12/07/2016;-;UFRJ;-;-
17956-4;Serviço de análise multielementar por ICP-MS e/ou ICP OES do grupo LABSPECTRO da PUC-RIO.;Petrobras;17/07/2014;12/01/2016;-;PUC-RIO;-;-
17957-2;Estudo Numérico e Experimental da Termo-fluidodinâmica de Bombas Multifásicas de Duplo Parafuso;Petrobras;21/07/2014;15/01/2018;-;UFSC;-;-
17958-0;Debritos e Turbiditos na Bacia do Camaquã: Depósitos cogenéticos ou independentes.;Petrobras;21/07/2014;11/03/2017;-;UNISINOS;-;-
17959-8;Reforços estruturais em  painéis navais planos e membros tubulares com perda de espessura devido à corrosão;Petrobras;22/07/2014;16/01/2018;-;UFRJ;-;-
17960-6;Desenvolvimento de Consumíveis e Técnicas de Soldagem Molhada para Obtenção de Soldas de Reparo com Qualidade Estrutural;Petrobras;22/07/2014;20/07/2018;-;PUC-RIO;-;-
17961-4;Desenvolvimento de modelos de otimização aplicados à programação de petróleo em refinarias;Petrobras;23/07/2014;18/03/2016;-;UFU;-;-
17962-2;Fenômenos Térmicos em Poços de Petróleo e Gás;Petrobras;29/07/2014;24/11/2017;-;UFSC;-;-
17963-0;Ampliar e desenvolver metodologias de avaliação de efeito de filme lubrificante no desempenho tribológico de componentes de motores.;Petrobras;30/07/2014;24/01/2019;-;USP;-;-
17964-8;Estudo da Vibração Induzida pelo Escoamento em Completações com CI em Poços Injetores de Gás.;Petrobras;04/08/2014;28/07/2018;-;PUC-RIO;-;-
17965-5;Estratégia biotecnológica para proteção de corais e remediação de águas marinhas - PROCORAIS;Petrobras;19/08/2014;15/12/2017;-;UFRJ;-;-
17966-3;Medolologias e Sistemas de Projeção e Avaliação Econômica sob Incerteza de Reservas de Óleo e Gás;Petrobras;25/08/2014;23/08/2016;-;PUC-RIO;-;-
17967-1;Análise de injeção de emulsões óleo-água como método de recuperação melhorada: simulação, estabilidade e efeito da salinidade.;Petrobras;04/09/2014;31/03/2018;-;PUC-RIO;-;-
17968-9;Pesquisa e Desenvolvimento sobre Hidratos em Garantia de Escoamento no Pré-Sal;Petrobras;11/09/2014;04/09/2016;-;UTFPR;-;-
17969-7;Previsão de Vazão de Gás Natural para Demanda não Termelétrica.;Petrobras;15/09/2014;09/09/2015;-;PUC-RIO;-;-
17970-5;Avaliação do comportamento eletroquímico em alta pressão de ligas resistentes a corrosão;Petrobras;15/09/2014;12/12/2017;-;UFRJ;-;-
17971-3;BR-ToolKits: Novas Ferramentas para o BR - PerfX-PRO;Petrobras;17/09/2014;15/09/2018;-;UFRGS;-;-
17972-1;Desenvolvimento de Modelos Computacionais para Previsão da Flambagem dos Arames das Armaduras de Tração de Dutos Flexíveis;Petrobras;17/09/2014;15/09/2017;-;UFRJ;-;-
17973-9;Modelagem matemática e simulação numérica de escoamentos tridimensionais sobre tubos horizontais ancorados em dunas e sob efeito da proximidade do fundo do mar;Petrobras;18/09/2014;15/03/2017;-;UFU;-;-
17974-7;NAVE² - Navio Ecológico Eficiente - Fase 2.;Petrobras;23/09/2014;21/09/2016;-;USP;-;-
17975-4;Análises de colapso de segmentos de DUTO CORROÍDOS submetidos a pressão externa.;Petrobras;23/09/2014;21/09/2016;-;LNCC;-;-
17976-2;Utilizar microbiota autóctone em processos naturais, bioestimulada e bioalimentada, para a condução de biodegradação visando a remoção de naftenatos de cálcio presentes em depósitos;Petrobras;24/09/2014;22/09/2017;-;UFRJ;-;-
17977-0;Simulação numérica de geração e evolução de correntes hiperpicnais por DNS (DNS - DAM).;Petrobras;24/09/2014;21/03/2019;-;PUC-RS;-;-
17978-8;Ensaios Hidrodinâmicos Aplicados a Sistemas Marítimos de Produção;Petrobras;25/09/2014;23/09/2018;-;USP;-;-
17979-6;Expansão dos Mecanismos de Aprendizado na Metodologia de Reconhecimento de Padrões de Defeitos em Sistemas de Bombeio Centrífugo Submerso.;Petrobras;25/09/2014;23/09/2017;-;UFES;-;-
17980-4;Novos processos de segmentação, classificação e correlação de imagens de rochas em multiescala;Petrobras;25/09/2014;22/03/2018;-;CBPF;-;-
17981-2;Estudo do fenômeno de GREEN WATER em plataformas do tipo FPSO.;Petrobras;25/09/2014;23/09/2017;-;USP;-;-
17982-0;Pesquisa e Desenvolvimento de Soluções em Geomecanica de Perfuração;Petrobras;30/09/2014;27/03/2018;-;PUC-RIO;-;-
17983-8;Rede sismográfica para auscultação de operação de fraturamento hidraúlico no reservatório de Riachuelo;Petrobras;30/09/2014;25/06/2016;-;UNB;-;-
17984-6;Aprimoramento de Tecnologia Eletroquímica Alternativa Para Tratamento de Águas Ácidas Geradas em Refinarias - Otimização de Reator Eletroquímico;Petrobras;01/10/2014;29/09/2017;-;UFRJ;-;-
17985-3;Pesquisa e Desenvolvimento de Sistemas para Gerenciamento de Reservatórios;Petrobras;01/10/2014;29/09/2016;-;PUC-RIO;-;-
17986-1;Sistema integrado de gerência de simulação de reservatório e geomecânia.;Petrobras;01/10/2014;29/09/2016;-;PUC-RIO;-;-
17987-9;Simulação estocástica, modelagem, otimização e análise estatística de dados de poços aplicados à avaliação de formações;Petrobras;02/10/2014;30/09/2018;-;PUC-RIO;-;-
17988-7;Simulador Dines (Dinâmica da Estruturação Salífera) Aplicado à Determinação da Trajetória Ótima de Poços Perfurados Através do Sal;Petrobras;06/10/2014;04/10/2017;-;UFRJ;-;-
17989-5;Modelagem geométrica de corpos geológicos e processamento de sinais aplicados à avaliação de formações;Petrobras;24/10/2014;22/10/2018;-;PUC-RIO;-;-
17990-3;Carbonatação de Epóxidos: Desenvolvimento de Catalisadores a Base de Sais Orgânicos;Petrobras;29/10/2014;27/10/2016;-;UFPR;-;-
17991-1;Obtenção de 1-deceno a partir de componentes do biodiesel empregando a metátese de olefinas.;Petrobras;03/11/2014;30/04/2017;-;UFMG;-;-
17992-9;Integração quantitativa de dados geofísicos;Petrobras;05/11/2014;03/11/2017;-;UFPA;-;-
17993-7;Autocalibração de Analisadores em Linha (AUTOCAL);Petrobras;06/11/2014;04/03/2016;-;UFRN;-;-
17994-5;Desenvolvimento de otimizador para programação de petróleo baseado em técnicas não determinísticas (SMART - Fase 5);Petrobras;06/11/2014;02/07/2017;-;PUC-RIO;-;-
17995-2;Sistema de Planejamento de Refinarias PLANREF - 2014.;Petrobras;14/11/2014;10/08/2015;-;PUC-RIO;-;-
17996-0;Desenvolvimento de Ferramentas Computacionais Aplicadas à Elevação Artificial - AUTELEV;Petrobras;14/11/2014;07/11/2016;-;UFRN;-;-
17997-8;Sistema de Limpeza da Incrustação de Sulfato de Bário Assistida por Ultrassom de Alta Potência.;Petrobras;14/11/2014;12/11/2017;-;UFBA;-;-
17998-6;Sistemas Porosos Multiescalares:  caracterização, petrofísica computacional e quantificação experimental da distribuição de fluidos com tomografia de raios-X de alta resolução. (PoroFluidoCarb).;Petrobras;18/11/2014;16/11/2018;-;UFSC;-;-
17999-4;"Captura de CO2 em materiais nanoestruturados, Fase II - 
Sólidos lamelares expandidos e desfolhados.";Petrobras;18/11/2014;16/11/2017;-;UNICAMP;-;-
18000-0;Monitoramento de Injeção Através de Perfis de Temperatura Distribuída;Petrobras;19/11/2014;17/03/2017;-;UFRN;-;-
18001-8;Pesquisa e Desenvolvimento de Métodos Eficientes e Escaláveis para Estimativa da Incerteza na Modelagem Petrofísica de Propriedades de Reservatórios;Petrobras;21/11/2014;19/11/2017;-;UFSC;-;-
18002-6;Sistema Avançado de Comunicação Industrial - SACI;Petrobras;21/11/2014;19/11/2017;-;UFRN;-;-
18003-4;Desenvolvimento e Manutenção da Interface Gráfica e do Módulo de Análise do Anflex.;Petrobras;21/11/2014;19/11/2016;-;PUC-RIO;-;-
18004-2;Estudo e Aplicação de Diferentes Técnicas para Controle e Monitoramento de BRS em Dutos e Tanques no Sistema Óleo & Gás.;Petrobras;24/11/2014;16/05/2018;-;INT;-;-
18005-9;Estratigrafia de sequências de alta resolução e arquitetura de fácies de sistemas estuarinos: Formação Morro do Chapeu, Chapada Diamantina-BA;Petrobras;25/11/2014;17/01/2018;-;UFRGS;-;-
18006-7;Obtenção de Ácido Acético a partir de Etanol;Petrobras;27/11/2014;25/11/2017;-;INT;-;-
18007-5;Confiabilidade Estrutural Aplicada à Análise Probabilística de Revestimentos de Poços;Petrobras;27/11/2014;25/11/2017;-;UFAL;-;-
18008-3;Visualização e quantificação de incertezas de um conjunto de simulações de reservatório;Petrobras;27/11/2014;24/05/2016;-;PUC-RIO;-;-
18009-1;Desenvolvimento e avaliação de tecnologias de sistemas móveis (PDAs, RFIDs, sensores, redes) para Controle, Automação e Manutenção (RFID-MOBILE);Petrobras;01/12/2014;29/11/2017;-;UFCG;-;-
18010-9;Pesquisa Tecnológica para Definição dos Parâmetros de Resistência à Corrosão sob Tensão por Sulfetos de Juntas Soldadas de Aço Carbono Típicas de Oleodutos Terrestres.;Petrobras;02/12/2014;29/05/2018;-;INT;-;-
18011-7;"""Obtenção de poli(líquidos iônicos) e/ou novos materiais poliméricos projetados para separação de CO2 de gás natural.""";Petrobras;02/12/2014;27/08/2018;-;PUC-RS;-;-
18012-5;Caracterização Isotópica em Áreas Contaminadas por Hidrocarbonetos;Petrobras;02/12/2014;25/03/2018;-;UNESP;-;-
18013-3;Imageamento Digital de Feições Geométricas em Carbonatos com Sísmica de Refração (SISMOCARBO);Petrobras;02/12/2014;01/12/2015;-;UFRN;-;-
18014-1;Desenvolvimento de equipamento e procedimento para reparo por soldagem em reatores de HDT em Cr-Mo-V.;Petrobras;03/12/2014;01/12/2017;-;UFC;-;-
18015-8;Geodinâmica Evolutiva dos Riftes Recôncavo-Tucano-Jatobá e Araripe e Estrutura 3-D Profunda dos Embasamentos Cristalinos Associados RIFT-BAHIA II. Parte I: da Bacia do Recôncavo até a Bacia de Tucano Central.;Petrobras;04/12/2014;02/12/2017;-;UFBA;-;-
18016-6;Desenvolvimento de tecnologias aplicadas  ao tratamento de água produzida;Petrobras;04/12/2014;02/12/2017;-;UFRJ;-;-
18017-4;Modelagem do Processamento de Petróleos Nacionais em Rota Solvente para a Produção de Óleos Básicos Lubrificantes e Parafinas;Petrobras;05/12/2014;03/12/2017;-;UFRJ;-;-
18018-2;Testes de fadiga e simulações numéricas de trechos retos de tubos sob pressão interna após reparo de mossa;Petrobras;05/12/2014;03/12/2018;-;UFRJ;-;-
18019-0;Desenvolvimento de um Distribuidor de Escoamento Bifásico de Líquido-Gás;Petrobras;05/12/2014;27/05/2017;-;UTFPR;-;-
18020-8;Análise e Modelagem de Incertezas para Gerenciamento e Otimização de Produção;Petrobras;05/12/2014;01/06/2017;-;UFRJ;-;-
18021-6;Modelagem, Simulação e Controle Avançado de Plataformas Replicantes do Pré-Sal;Petrobras;05/12/2014;03/12/2017;-;UFRJ;-;-
18022-4;Bioestratigrafia de Alta Resolução dos Reservatórios Pensilvanianos da Bacia do Solimões (Formação Juruá);Petrobras;08/12/2014;04/06/2018;-;UFRGS;-;-
18023-2;Remoção de CO² de Gases Exaustos por Absorção Química;Petrobras;08/12/2014;06/12/2017;-;UFRJ;-;-
18024-0;Caracterização do Clima de Ondas e Meteorologia da Bacia do Espírito Santo e parte norte da Bacia de Campos e da Bacia de Sergipe/Alagoas.;Petrobras;09/12/2014;05/06/2018;-;UFRJ;-;-
18025-7;SiVIEP - Sistema de Visualização Integrada em E&P;Petrobras;11/12/2014;07/06/2017;-;PUC-RIO;-;-
18026-5;Monitoração e Diagnóstico de Unidades de Processamento de Gás Natural;Petrobras;12/12/2014;09/04/2017;-;UFRJ;-;-
18027-3;"""Desenvolvimento de membranas, permeadores e processos para remoção de CO2 do gás natural""";Petrobras;12/12/2014;10/12/2017;-;UFRJ;-;-
18028-1;Monitoração e Diagnóstico de Unidades de Amônia;Petrobras;12/12/2014;10/12/2016;-;UFRJ;-;-
18029-9;Projeto de Calibração Petrofísica Rocha x Perfil.;Petrobras;12/12/2014;08/06/2018;-;UFRJ;-;-
18030-7;Otimização do Processo de Sínteses e Propriedades dos Materiais Catalíticos, SAPO-11 e ZSM-22 para Processos Industriais.;Petrobras;12/12/2014;05/12/2016;-;UFAL;-;-
18031-5;Avaliação do Impacto do Teor de Água, em Elevadas Velocidades de Fluxo, na Corrosão da Coluna de Produção em Diversos Campos do Pré-Sal.;Petrobras;15/12/2014;11/06/2016;-;UFRJ;-;-
18032-3;Síntese de Padrões para Análise de Biomarcadores;Petrobras;15/12/2014;13/04/2015;-;UNICAMP;-;-
18033-1;Desenvolvimentos e aplicações de modelos matemáticos e numéricos para Processos de Refino: Escoamentos Monofásicos, Bifásicos e Reativos;Petrobras;16/12/2014;14/12/2017;-;UFU;-;-
18034-9;Avaliação do impacto dos sólidos e metais presentes nos Óleos do Pré-Sal processados em uma Refinaria.;Petrobras;16/12/2014;14/12/2017;-;SENAI-RJ;-;-
18035-6;Análise de Viabilidade da Inserção de Manipuladores Industriais e Automação de Processos em Estaleiros;Petrobras;16/12/2014;12/06/2016;-;USP;-;-
18036-4;Avaliação de Aditivos para Redução de Sox;Petrobras;16/12/2014;14/12/2018;-;UFRJ;-;-
18037-2;Simulação Sísmica Centrífuga de Taludes Submarinos.;Petrobras;16/12/2014;14/12/2017;-;UFRJ;-;-
18038-0;Estudo de dano à formação com fluido aquoso à base de glicerina e dimensionamento de partículas aplicadas em fluidos de perfuração.;Petrobras;17/12/2014;13/06/2017;-;UENF;-;-
18039-8;Avaliação da taxa de corrosão de óleos do Pré-Sal e misturas;Petrobras;17/12/2014;15/12/2017;-;UFES;-;-
18040-6;MPA - Desenvolvimento de Novos Algoritmos de Controle e Otimização de Unidades Industriais e Evolução do Sistema de Automação;Petrobras;19/12/2014;15/06/2017;-;PUC-RIO;-;-
18041-4;Validação de Processos Anti-Incrustantes e Estudo da Influência de Elementos Pesados na Formação de Incrutações;Petrobras;19/12/2014;17/12/2017;-;UFS;-;-
18042-2;Desenvolvimento de Sistema Centrífugo para Remoção de Água, Sais e Sólidos de Petróleo, para Laboratório.;Petrobras;22/12/2014;18/06/2016;-;UNIFEI;-;-
18043-0;Avaliação de características de hidrociclones com alta capacidade de vazão;Petrobras;22/12/2014;14/04/2016;-;UNIFEI;-;-
18044-8;Ejetor para Gás de Anular;Petrobras;22/12/2014;15/12/2016;-;UFRN;-;-
18045-5;Validação em campo dos algoritmos de otimização de alocação de carga;Petrobras;23/12/2014;22/12/2015;-;USP;-;-
18046-3;Estudo, estruturação e projeto de bancada experimental para investigação de sistemas multifásicos dispersos na produção de petróleo;Petrobras;23/12/2014;19/06/2017;-;UNIFEI;-;-
18047-1;Avaliação de Ciclo de Vida de PET e de Propilenoglicol.;Petrobras;23/12/2014;19/06/2016;-;USP;-;-
18048-9;Desenvolvimento de Método para Dimensionamento de Pavimentos Asfálticos Fase II: Avaliação do Desempenho dos Segmentos Monitorados.;Petrobras;26/12/2014;24/12/2017;-;UFSC;-;-
18049-7;Análise de Vibração para Diagnósticos de Falhas em Sistemas BCS;Petrobras;26/12/2014;19/03/2019;-;UFBA;-;-
18050-5;Estudo e desenvolvimento de soldabilidade do aço ASTM A333 Grau 8;Petrobras;29/12/2014;22/11/2017;-;SENAI-RJ;-;-
18051-3;Testar e implantar a tecnologia de RFID (identificação por rádio frequência) para localização e rastreamento de Spools (tubulações) nos empreendimentos fornecedores para o setor de petróleo e gás natural.;Petrobras;30/12/2014;13/12/2017;-;USP;-;-
18052-1;O Efeito da Energia de Micro-Ondas na Produção de Diesel S10;Petrobras;05/01/2015;27/02/2018;-;UERJ;-;-
18053-9;Desenvolvimento de um Simulador Iônico para Sistema de Topo de Destilação;Petrobras;06/01/2015;04/01/2018;-;UFRGS;-;-
18054-7;Diagnóstico da Causa Raiz de Oscilações e Perturbações em UEP;Petrobras;07/01/2015;05/01/2018;-;UFES;-;-
18055-4;Pesquisa e Desenvolvimento de Modelos de Otimização, Previsão e Controle em Tempo Real dos Processos de Perfuração de Poços do Pré-sal - SO-BR versão 2;Petrobras;15/01/2015;12/07/2017;-;UFSC;-;-
18056-2;Simulação Numérica Acoplando Fenômenos Termo-Químico-Hidro-Mecânico das Rochas Reservatórios e Capeadoras do Pré-Sal - Etapa 02.;Petrobras;05/02/2015;26/10/2017;-;UFPE;-;-
18057-0;Modelagem Geológica/Geomecânica de Reservatório análogo Naturalmente Fraturado, Bacia do Araripe, NE Brasil - Projeto Crato.;Petrobras;05/02/2015;02/08/2017;-;UFPE;-;-
18058-8;O Uso da Tecnologia de Micro-ondas na Intensificação do Processo de Hidrotratamento de Destilados Médios;Petrobras;23/02/2015;20/08/2017;-;CNEN;-;-
18059-6;Instalação do sistema de correnteza do Laboratório de Tecnologia Oceânica - LABOCEANO.;Petrobras;19/11/2004;18/06/2018;-;UFRJ;355/2007;23/10/2007
18060-4;Plano Nacional de Qualificação Profissional - 3° Revisão;Petrobras;01/05/2006;30/06/2012;-;-;"069/2006
424/2007";"26/04/2006
23/11/2007"
18061-2;Ampliação do Núcleo de Competência para o Desenvolvimento de Tecnologia de Carbono ( NCDTC ) do Centro Tecnólogico do Exército;Petrobras;28/08/2006;02/02/2012;-;CTEX;"229/2006   
361/2010";"24/08/2006   
18/06/2010"
