CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-06683-0213;2013;$1.183.760,00;$85.000,00;$72.028,00;$0,00;$13.000,00;$420.000,00;$1.773.788,00
PD-06683-0215;2015;$1.541.093,60;$77.500,00;$127.119,05;$361.180,00;$1.263.208,88;$265.000,00;$3.635.101,53
PD-06683-0218;2018;$4.274.780,00;$1.875.149,20;$792.937,70;$1.494.552,64;$2.667.259,74;$6.166.159,18;$17.270.838,46
PD-06683-0220;2020;$2.553.120,00;$372.200,00;$175.000,00;$23.400,00;$2.874.000,00;$1.271.900,00;$7.269.620,00
PD-06683-0313;2013;$4.955.486,88;$1.489.800,70;$1.066.121,16;$2.603.491,01;$2.176.131,70;$422.016,19;$12.713.047,64
PD-06683-0315;2015;$6.410.232,00;$201.122,50;$398.739,72;$7.200,00;$99.000,00;$849.000,00;$7.965.294,22
PD-06683-0318;2018;$2.656.630,00;$197.000,00;$92.000,00;$80.000,00;$1.412.000,00;$831.500,00;$5.269.130,00
PD-06683-0320;2020;$147.500,00;$80.000,00;$71.600,00;;;;$299.100,00
PD-06683-0420;2020;$2.252.492,00;$239.346,20;$334.877,16;$45.892,00;$1.772.500,00;$1.325.849,20;$5.970.956,56
PD-06898-0001;2014;$1.299.536,02;$80.000,00;;;;;$1.379.536,02
PD-06904-0001;2021;$2.321.900,00;$167.700,00;$197.920,00;;$36.000,00;;$2.723.520,00
PD-06908-0001;2015;$30.000,00;$30.000,00;;$20.000,00;$20.000,00;$30.000,00;$130.000,00
PD-06954-0420;2020;$1.389.914,00;$243.000,00;$248.400,00;$6.000,00;$2.197.869,75;$906.000,00;$4.991.183,75
PD-06957-0005;2020;$1.362.420,00;$194.016,00;$128.442,00;$561.772,00;$380.700,00;$55.960,00;$2.683.310,00
PD-06957-0006;2020;$1.362.420,00;$194.016,00;$128.442,00;$561.772,00;$380.700,00;$55.960,00;$2.683.310,00
PD-06958-0001;2017;$710.000,00;$112.000,00;$352.440,00;$200.000,00;$396.060,00;$1.734.900,00;$3.505.400,00
PD-06961-0006;2017;$585.651,64;$48.295,40;$12.000,00;$0,00;$0,00;$0,00;$645.947,04
PD-06961-0010;2019;$825.041,37;$272.750,00;$130.545,27;$18.333,33;$3.123.000,00;$400.000,00;$4.769.669,97
PD-06981-0002;2011;$671.730,00;;;;$4.868.799,00;$247.912,00;$5.788.441,00
PD-07019-0019;2013;$560.400,00;$112.800,00;$327.766,56;$63.600,00;$493.000,00;$868.097,62;$2.425.664,18
PD-07019-0020;2013;$475.200,00;$32.000,00;$39.476,74;$4.800,00;$201.035,00;$24.000,00;$776.511,74
PD-07019-0025;2013;$490.800,00;$26.500,00;$62.884,81;$13.600,00;$203.896,23;$79.800,00;$877.481,04
PD-07019-0028;2013;$537.600,00;$40.000,00;$72.460,00;$5.000,00;$142.000,00;;$797.060,00
PD-07019-0032;2014;$1.696.080,00;$180.000,00;$259.241,00;$66.000,00;$425.000,00;$926.860,00;$3.553.181,00
PD-07019-0039;2016;$1.455.600,00;$121.500,00;$102.000,00;$60.000,00;$300.000,00;$76.000,00;$2.115.100,00
PD-07019-0041;2016;$575.200,00;$42.600,00;$47.230,00;$20.200,00;$96.900,00;$229.900,00;$1.012.030,00
PD-07019-0042;2016;$4.466.990,00;$350.640,00;$427.155,00;$382.000,00;$11.270.000,00;;$16.896.785,00
PD-07019-0043;2016;$4.373.825,00;$198.500,00;$318.936,00;$377.558,00;$6.470.400,00;$9.000,00;$11.748.219,00
PD-07019-0044;2016;$9.574.600,00;$495.388,00;$724.043,12;$521.116,00;$2.692.576,00;$318.000,00;$14.325.723,12
PD-07089-0001;2016;$2.382.550,00;$120.000,00;$122.750,00;$54.750,00;$109.500,00;$0,00;$2.789.550,00
PD-07089-0002;2017;$760.000,00;$15.000,00;$32.500,00;$17.500,00;$25.000,00;$0,00;$850.000,00
PD-07089-0003;2016;$670.000,00;$30.000,00;$32.000,00;$15.000,00;$30.000,00;;$777.000,00
PD-07130-0046;2019;$2.954.870,80;$138.000,00;$208.463,40;$0,00;$1.500.000,00;$258.000,00;$5.059.334,20
PD-07130-0047;2019;$5.050.060,80;$267.546,24;$311.421,60;$62.928,24;$14.000,00;$388.467,24;$6.094.424,12
PD-07130-0048;2019;$2.226.801,60;$44.400,00;$161.000,00;;$1.684.500,00;$7.500,00;$4.124.201,60
PD-07130-0049;2019;$2.337.186,40;$158.400,00;$378.999,92;;$28.390,00;$180.000,00;$3.082.976,32
PD-07130-0050;2020;$4.459.637,44;$68.000,00;$287.441,00;$65.000,00;$302.000,00;$301.600,00;$5.483.678,44
PD-07130-0051;2020;$1.454.154,00;$56.000,00;$134.553,35;;$193.903,00;$60.043,74;$1.898.654,09
PD-07130-0053;2018;$2.846.880,00;$328.300,00;$163.000,00;$10.000,00;$2.137.000,00;$145.500,00;$5.630.680,00
PD-07130-0057;2019;$4.401.720,00;$146.400,00;$144.000,00;;$671.000,00;$60.000,00;$5.423.120,00
PD-07130-0059;2020;$5.505.750,36;$125.707,09;$410.630,78;$2.288,33;$432.355,03;$148.191,04;$6.624.922,63
PD-07130-0060;2019;$3.906.000,00;$200.000,00;$171.382,00;$23.200,00;$129.000,00;$69.000,00;$4.498.582,00
PD-07130-0062;2020;$5.169.921,21;$195.000,00;$458.370,48;$585.365,81;$657.932,00;$505.066,78;$7.571.656,28
PD-07130-6047;2020;$1.581.314,14;$124.073,12;$96.429,31;;$477.558,35;$50.000,00;$2.329.374,92
PD-07130-6050;2020;$1.130.042,92;$28.000,00;$79.930,00;;$968.898,00;$140.470,00;$2.347.340,92
PD-07130-6059;2020;$2.276.816,92;$52.041,19;$176.498,73;$30.000,00;;$107.699,51;$2.643.056,35
PD-07130-6060;2020;$1.788.169,05;$195.000,00;$158.830,00;$23.200,00;$270.000,00;$120.000,00;$2.555.199,05
PD-07130-6062;2020;$1.481.210,51;$42.000,00;$134.541,04;$89.245,00;;$619.249,29;$2.366.245,84
PD-07130-7047;2020;$799.980,00;$87.433,12;$88.286,21;;;;$975.699,33
PD-07130-7050;2020;$1.339.602,26;$60.000,00;$75.400,00;$2.480,00;;$50.000,00;$1.527.482,26
PD-07130-7059;2020;$662.515,07;$22.416,48;$56.982,35;$2.288,33;;$17.244,14;$761.446,37
PD-07130-7060;2020;$1.655.933,33;$150.000,00;$357.900,00;$4.800,00;$520.000,00;$150.600,00;$2.839.233,33
PD-07130-7062;2020;$1.043.901,78;$24.000,00;$62.995,75;;;$25.000,00;$1.155.897,53
PD-07217-0003;2018;$2.859.193,80;$102.943,28;$91.269,69;$9.210,72;;;$3.062.617,49
PD-07217-0004;2018;$1.072.799,92;$70.066,08;$196.904,42;$48.000,00;$119.999,98;;$1.507.770,40
PD-07236-0001;2013;$579.812,77;$27.500,00;$2.000,00;$0,00;$0,00;$0,00;$609.312,77
PD-07236-0005;2015;$1.042.141,14;$378.920,00;$36.000,00;;;;$1.457.061,14
PD-07267-0021;2019;$2.965.818,19;$154.716,28;$244.985,80;$36.790,71;$1.752.828,56;$1.521.860,47;$6.677.000,01
PD-07284-0001;2016;$568.800,00;$75.200,00;$100.452,11;;;;$744.452,11
PD-07284-0002;2020;$1.011.445,33;$229.760,00;$624.961,20;$3.000,00;$251.640,00;$2.088.585,00;$4.209.391,53
PD-07355-0001;2016;$369.500,00;$25.000,00;$91.000,00;$23.500,00;$100.500,00;$35.000,00;$644.500,00
PD-07427-0319;2019;$927.834,48;;;;;$456.500,00;$1.384.334,48
PD-07427-0321;2021;$0,00;$0,00;$0,00;$0,00;$49.254,99;$71.061,41;$120.316,40
PD-07427-0421;2021;$12.480,00;$0,00;$0,00;$0,00;$48.596,00;$120.000,00;$181.076,00
PD-07469-0002;2018;$480.000,00;;;;;;$480.000,00
PD-07884-0001;2017;$729.517,76;$52.000,00;$95.340,00;$104.000,00;$10.000,00;$20.000,00;$1.010.857,76
PD-08102-0001;2018;$2.062.269,98;$71.147,09;$293.791,13;$116.412,34;$255.553,57;$200.825,89;$3.000.000,00
PD-08103-0001;2018;$2.062.269,98;$71.147,09;$293.791,13;$116.412,34;$255.553,57;$200.825,89;$3.000.000,00
PD-08106-0001;2018;$2.062.269,98;$71.147,09;$293.791,13;$116.412,34;$255.553,57;$200.825,89;$3.000.000,00
PD-08106-0002;2018;$2.686.930,00;$326.460,00;$398.551,00;$18.000,00;$626.060,00;$555.000,00;$4.611.001,00
