Arquivo;CodProj;Data de Início;Data de Conclusão;CNPJ;Entidade;Tipo de Entidade;Unidade Federativa;Região
APLPED04951_RELATORIOFINALPED_0456_S01.XML;PD-04951-0456;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0458_S04.XML;PD-04951-0458;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0462_S05.XML;PD-04951-0462;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0463_S02.XML;PD-04951-0463;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0464_S02.XML;PD-04951-0464;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0465_S01.XML;PD-04951-0465;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0468_S01.XML;PD-04951-0468;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0475_S01.XML;PD-04951-0475;01APR2013;01JAN2017;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0477_S02.XML;PD-04951-0477;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0478_S01.XML;PD-04951-0478;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0479_S01.XML;PD-04951-0479;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0480_S02.XML;PD-04951-0480;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0481_S01.XML;PD-04951-0481;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0483_S01.XML;PD-04951-0483;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
