"","id","fonte_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","p&d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1614","Aneel-PD-00068-0043","Aneel",2019-01-10,2021-01-09,730,"Simplificando e otimizando a execução de instruções operacionais de forma segura, colaborativa e auditável entre Centros de Operações","EM ATRASO",3415681.2,3373570.06191781,"COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1661050.44657534,1707840.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1615","Aneel-PD-00385-0067","Aneel",2019-01-14,2020-07-14,547,"Projeção de Mercado através de Algortimos Colaborativos","EM ATRASO",1098060,1098060,"ELEKTRO REDES S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,704605.228519196,391447.349177331,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"1616","Aneel-PD-00372-0000","Aneel",2019-01-15,2022-01-14,1095,"Turbinas hidráulicas hidrocinéticas para o aproveitamento do potencial remanescente em usinas hidrelétricas","EM ATRASO",10800067.5,7061961.94520548,"CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,3452076.36986301,3600022.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"1617","Aneel-PD-00385-0068","Aneel",2019-01-15,2020-12-14,699,"Projeção de Mercado através de Algortimos Colaborativos","CONCLUÍDO",1089570,1089570,"ELEKTRO REDES S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,545564.377682403,542446.86695279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"1618","Aneel-PD-00385-0066","Aneel",2019-01-15,2020-07-15,547,"Projeção de Mercado através de Algortimos Colaborativos","EM ATRASO",1089570,1089570,"ELEKTRO REDES S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,697165.447897623,390412.650822669,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"1619","Aneel-PD-00372-9986","Aneel",2019-01-15,2020-07-15,547,"Desenvolvimento do lote pioneiro do sistema inteligente de monitoramento de descargas parciais para transformadores de potência.","EM EXECUÇÃO",3252688.8,3252688.8,"CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,2081245.11882998,1165497.26654479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"1620","Aneel-PD-06585-1902","Aneel",2019-01-18,2020-09-17,608,"Materiais Poliméricos para Prolongamento da Vida Útil e Reconstituição de Características Mecânicas de Cruzetas de Madeira","EM ATRASO",2003865.4,2003865.4,"ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1143653.44375,856916.125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1621","Aneel-PD-00382-0120","Aneel",2019-01-18,2021-01-25,738,"Avaliação de condicionantes e de modelos de negócio para a implementação de uma plataforma negocial para comercialização de créditos de energia oriundos de unidades de Geração Distribuída","CONCLUÍDO",1045593.38,1010173.5500542,"LIGHT SERVIÇOS DE ELETRICIDADE S A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,491627.239647696,517129.517208672,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1622","Aneel-PD-00371-0038","Aneel",2019-01-21,2021-01-20,730,"CABEÇA DE SERIE - Monitoramento Dinâmico do Uso de EPI's/EPC's  no Campo Empregando Técnicas de Biometria","EM ATRASO",5658428.8,5503403.35342466,"EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,2666437.68109589,2829214.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1623","Aneel-PD-00037-0036","Aneel",2019-01-21,2020-07-21,547,"Definição adaptativa de parâmetros para a crítica da medição do consumo de energia elétrica usando Deep Learning e Survival Analysis","EM ATRASO",2568853.8,2568853.8,"COMPANHIA ENERGÉTICA DO MARANHÃO","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1615513.17586837,948644.364899452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
