"","X","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","p.d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2020","motor","categorias","cat2","existe"
"1071",1071,"ANEEL-PD-05217-1515","ANEEL","2015-11-19","2019-12-26",1498,"Compartilhamento de Estruturas de Linhas de Subtransmissão 72.5 & 145 kV e Redes de Distribuição 15, 25 & 36.2 kV - Estudos Mecânicos, de Transitórios e Modelos para Validação Técnica & Econômica.","CONCLUÍDO",2968460,2960533.53805073,"EMPRESA DE DISTRIBUICAO DE ENERGIA VALE PARANAPANEMA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,83227.8504672897,723289.652870494,721308.037383178,0,"compartilhamento de estruturas de linhas de subtransmissao 72.5 & 145 kv e redes de distribuicao 15, 25 & 36.2 kv - estudos mecanicos, de transitorios e modelos para validacao tecnica & economica. distribuicao planejamento de sistemas de energia eletrica","""6.2"", ""7.1""",7.1,"sim"
"1072",1072,"ANEEL-PD-02608-7503","ANEEL","2015-11-19","2019-07-16",1335,"Desenvolvimento e Aplicação de um Sistema de Medição de Grandes Áreas (WAMS) utilizando Equipamentos do tipo PMU no Sistema de Transmissão da STATE GRID BRAZIL","CONCLUÍDO",6854900,6834360.97378277,"Expansion Transmissão de Energia Elétrica S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,215659.775280899,1874186.1423221,1869051.38576779,0,"desenvolvimento e aplicacao de um sistema de medicao de grandes areas (wams) utilizando equipamentos do tipo pmu no sistema de transmissao da state grid brazil transmissao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
"1073",1073,"ANEEL-PD-00051-1501","ANEEL","2015-11-20","2018-11-19",1095,"Sistema de Transferência de Energia Sem Contato Altamente Eficiente baseado em um Conversor Ressonante Rotativo Compacto para Motores Síncronos de Pequeno Porte","EM ATRASO",936098.79,933534.135780822,"DME DISTRIBUIÇÃO S.A. - DMED","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,35050.2743287671,312032.93,311178.045260274,0,"sistema de transferencia de energia sem contato altamente eficiente baseado em um conversor ressonante rotativo compacto para motores sincronos de pequeno porte distribuicao eficiencia energetica","""1.4"", ""3.2""",1.1,"sim"
"1074",1074,"ANEEL-PD-00032-1510","ANEEL","2015-11-20","2020-12-22",1859,"Desenvolvimento de solução integrada de controle otimizado de tensão e reativos (Volt/VAr) para sistemas de distribuição","CONCLUÍDO",6232692.96,6215929.39636364,"ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,137461.221818182,1223740.14545455,1220387.43272727,1193565.73090909,"desenvolvimento de solucao integrada de controle otimizado de tensao e reativos (volt/var) para sistemas de distribuicao distribuicao operacao de sistemas de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"1075",1075,"ANEEL-PD-00032-1513","ANEEL","2015-11-20","2018-07-21",974,"Ferramenta Inteligente para Planejamento e Gestão do Manejo de Árvores ao Longo das RD de Energia Elétrica Utilizando Técnicas de Processamento e Análise de Imagens de Satélites de Alta Resolução.","EM ATRASO",3721700,3710236.85831622,"ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,156662.936344969,1394682.23819302,1390861.19096509,0,"ferramenta inteligente para planejamento e gestao do manejo de arvores ao longo das rd de energia eletrica utilizando tecnicas de processamento e analise de imagens de satelites de alta resolucao. distribuicao operacao de sistemas de energia eletrica","""3.1"", ""7.1""",6.2,"sim"
"1076",1076,"ANEEL-PD-00405-1508","ANEEL","2015-11-23","2018-01-22",791,"Metodologia p/ desenvolver e implantar modelos de mecanização com foco na construção e na manutenção de redes de distribuição, considerando Redes Elétricas Inteligentes e abordagem de Design Thinking","EM ATRASO",5935150,5912639.9494311,"ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,285127.307206068,2738722.81921618,2731219.46902655,0,"metodologia p/ desenvolver e implantar modelos de mecanizacao com foco na construcao e na manutencao de redes de distribuicao, considerando redes eletricas inteligentes e abordagem de design thinking distribuicao operacao de sistemas de energia eletrica","6.2",6.2,"sim"
"1077",1077,"ANEEL-PD-05785-4201","ANEEL","2015-11-24","2017-11-23",730,"Estratégias para substituição de transformadores de potência em subestações considerando risco de falha, fator de impacto para o sistema e análise monetária de acordo com panorama da concessionária","EM ATRASO",1043595,1040735.83561644,"COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA - CEEE-T","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,52894.5410958904,521797.5,466043.794520548,0,"estrategias para substituicao de transformadores de potencia em subestacoes considerando risco de falha, fator de impacto para o sistema e analise monetaria de acordo com panorama da concessionaria transmissao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
"1078",1078,"ANEEL-PD-00051-1502","ANEEL","2015-11-25","2017-05-25",547,"Manejo de macrófitas e destinação de sua biomassa para a geração de energia elétrica na Usina Bortolan em Poços de Caldas, MG","EM ATRASO",540728.72,538751.649725777,"DME DISTRIBUIÇÃO S.A. - DMED","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,35587.2649360146,360815.325045704,142349.059744058,0,"manejo de macrofitas e destinacao de sua biomassa para a geracao de energia eletrica na usina bortolan em pocos de caldas, mg distribuicao fontes alternativas de geracao de energia eletrica","3.4",3.4,"sim"
"1079",1079,"ANEEL-PD-02608-1346","ANEEL","2015-12-01","2019-02-26",1183,"Modelagem e avaliacao do desempenho de conversores com capacitor de comutacao (CCC) em sistemas multiplos de corrente continua","CONCLUÍDO",709500,707101.014370245,"Expansion Transmissão de Energia Elétrica S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,17992.3922231615,218907.438715131,218307.692307692,0,"modelagem e avaliacao do desempenho de conversores com capacitor de comutacao (ccc) em sistemas multiplos de corrente continua transmissao planejamento de sistemas de energia eletrica","""6.2"", ""7.1""",7.1,"sim"
"1080",1080,"ANEEL-PD-00372-9990","ANEEL","2015-12-14","2018-12-13",1095,"Exploração de Energia Solar em Lagos de Usinas Hidrelétricas","EM ATRASO",99907094,99633375.9342466,"CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,1551069.03926941,33302364.6666667,33211125.3114155,0,"exploracao de energia solar em lagos de usinas hidreletricas geracao fontes alternativas de geracao de energia eletrica","3.1",3.1,"sim"
