"","id","titulo_projeto","categorias","cat2","existe"
"90","ANEEL-PD-04950-0306","D306 - CS - REVITALIZAÇÃO E REPOTENCIAÇÃO DE TRANSFORMADORES DE POTÊNCIA E DESENVOLVIMENTO DE TCs A ÓLEO VEGETAL","2.1",6.2,"sim"
"91","ANEEL-PD-00043-1009","Auto Regulador Magnético de Tensão a Reator Naturalmente Saturado - ARMTRS, em 13,8kV - Cabeça de Série","nenhuma categoria encontrada",6.2,"sim"
"92","ANEEL-PD-00394-0940","Desenvolvimento de Metodologia para a Estimativa de Estoque e Dinâmica de Carbono em Áreas de Preservação Permanente","nenhuma categoria encontrada",NA,"não"
"93","ANEEL-PD-04951-0331","GT331 - PA - Desenvolvimento de concretos sustentáveis com uso de cinzas de bagaço de cana-de-açúcar","3.4",6.1,"sim"
"94","ANEEL-PD-00039-0045","Desenvolvimento de técnicas e ferramentas para determinação das caracteristicas de solos e avaliação de sistemas de aterramento.","6.2",6.2,"sim"
"95","ANEEL-PD-00371-0005","Ferramenta Computacional de Alocação Ótima Simultânea de Dispositivos de Proteção e Manobra em Redes de Distribuição de Energia Elétrica Considerando a Geração Distribuída","6.2",6.2,"sim"
"96","ANEEL-PD-00371-0001","Avaliação da Sustentabilidade de Sistemas Elétricos Isolados por meio da Diversificação da Matriz Energética Local","nenhuma categoria encontrada",3.7,"sim"
"97","ANEEL-PD-00371-0006","Avaliação de Desemoenho de Usinas Termoelétricas a Diesel","nenhuma categoria encontrada",2.1,"sim"
"98","ANEEL-PD-00371-0004","Dimensionamento de Transformador para Suprimento a Múltiplas Unidades de Consumo com Base em Árvore de Decisão.","""6.2"", ""7.1""",7.1,"sim"
"99","ANEEL-PD-06072-0263","Estudos para a eficácia de detecção de descargas parciais por emissão acústica como técnica preditiva de manutenção em transformadores de potência imersos em óleo isolante.","2.1",6.2,"sim"
"100","ANEEL-PD-00372-0028","Pesquisa e Desenvolvimento de Dispositivo de Fluxo Linearmente Variável para Aplicação em Reatores e, ou Transformadores","nenhuma categoria encontrada",6.2,"sim"
"101","ANEEL-PD-00385-0030","Arbor","nenhuma categoria encontrada",NA,"não"
"102","ANEEL-PD-00382-0066","Monitoramento da Vegetação e Uso do Solo em Faixas de Servidão de Linhas de Transmissão de Energia Elétrica","6.2",6.2,"sim"
"103","ANEEL-PD-00385-0031","Seguidores solares para sistemas fotovoltaicos conectados à rede: Sistemas com e sem concentração","6.2",3.1,"sim"
"104","ANEEL-PD-00038-0001","Metodologia para o cálculo e gerenciamento de perdas em redes de distribuição de energia elétrica","6.2",6.2,"sim"
"105","ANEEL-PD-00064-1024","Efeitos de Mudanças Climáticas no Regime Hidrológico de Bacias Hidrográficas e na Energia Assegurada de Aproveitamentos Hidrelétricos.","nenhuma categoria encontrada",3.6,"sim"
"106","ANEEL-PD-02866-0210","Sistema de Gestão do Conhecimento para Apoio a Operação em Tempo Real de Sistemas Elétricos de Potência","nenhuma categoria encontrada",6.2,"sim"
"107","ANEEL-PD-06072-0264","Veículo Aéreo Não Tripulado (VANT) como Ferramenta de Auxílio na Manutenção de Linhas de Transmissão","6.2",6.2,"sim"
"108","ANEEL-PD-06491-0219","Sistema Inteligente Híbrido de Análise em Tempo Real de Perturbações no Sistema Elétrico","7.1",6.2,"sim"
"109","ANEEL-PD-04950-0370","D370 - PA - Desenvolvimento de uma ferramenta computacional de Otimização Multicritério para Localização Estratégica de Novas Subestações considerando a Projeção Espacial da Carga","7.1",7.1,"sim"
"110","ANEEL-PD-04950-0422","PA - Metodologia para a tomada de decisão na gestão de ativos: uma abordagem integrada via teoria de opções reais","nenhuma categoria encontrada",6.2,"sim"
"111","ANEEL-PD-00382-0067","Programa de prevenção, tratamento e redução de litígios de consumo no setor elétrico","6.2",6.2,"sim"
"112","ANEEL-PD-00382-0054","Conector especializado para corte de fornecimento a cliente de baixa tensão - fases de cabeça de série e lote pioneiro.","nenhuma categoria encontrada",6.2,"sim"
"113","ANEEL-PD-06585-1103","Estudo e análise dos efeitos de penetração de umidade e da contaminação sobre a durabilidade e o desempenho elétrico dos pára-raios poliméricos de distribuição.","nenhuma categoria encontrada",6.2,"sim"
"114","ANEEL-PD-06491-0022","CARACTERIZAÇÃO DE TRANSIENTES MUITO RÁPIDOS - VFT ATRAVÉS DE MEDIÇÃO EM CAMPO E SIMULAÇÃO DIGITAL EM SUBESTAÇÕES ISOLADAS A GÁS SF6 - SIG E SUBESTAÇÕES ISOLADAS A AR - SIA.","2.1",3.6,"sim"
"115","ANEEL-PD-00372-0029","Desenvolvimento de novas funcionalidades da ferramenta computacional para análise e avaliação das grandezas relacionadas à qualidade da energia elétrica","6.2",6.2,"sim"
"116","ANEEL-PD-00382-0065","Cabeça de Série de Emenda de Reparo Provisório de Montagem Rápida para Cabo Óleo Fluido classe 145 kV","2.1",6.2,"sim"
"117","ANEEL-PD-04951-0338","GT338 - DE - Desenvolvimento de sistema integrado para supervisão e orientação à operação remota segura de usinas hidrelétricas","6.2",6.2,"sim"
